track_id,track_name,track_artist,energy,preview_url
5PZI5xTcMq8FsCcEroth7S,Boneless,Steve Aoki,0.962,https://p.scdn.co/mp3-preview/98998fe3897ceb16926260b456b3a3dd0b726476?cid=49789426e6c04428a2befbd3c2d79b02
6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),Lou Bega,0.807,https://p.scdn.co/mp3-preview/c98bff86083944b2b50af1b5dfb04279d5342cde?cid=49789426e6c04428a2befbd3c2d79b02
1y4Kln6VEjQMpmHW7j9GeY,Cut Your Teeth - Kygo Remix,Kyla La Grange,0.678,https://p.scdn.co/mp3-preview/ea5bb148959597253c38b56c8b339287d746b958?cid=49789426e6c04428a2befbd3c2d79b02
5Uygp1KAwyj41KSjwPt1Nz,Don't Wanna Let Go,Taiki Nulight,0.747,https://p.scdn.co/mp3-preview/612f103d5d15c17d85801d83e830edf50043c0e1?cid=49789426e6c04428a2befbd3c2d79b02
39yyHtQ4tkjZzd8TfIBKQw,"Morad: Bzrp Music Sessions, Vol. 47",Bizarrap,0.859,https://p.scdn.co/mp3-preview/16d67f40d7b2d0bf40b4d94d83ebf3522ae5c24d?cid=49789426e6c04428a2befbd3c2d79b02
6sMPT2noNLupVVqJF4YKtn,Hunnids,Ramirez,0.878,https://p.scdn.co/mp3-preview/c2b0ec68b99e58cf5bb7855ae5874efca399aa09?cid=49789426e6c04428a2befbd3c2d79b02
6j5apDNP48InFg0XEIJSyc,"Absence Heard, Presence Felt",Quantic,0.658,https://p.scdn.co/mp3-preview/0d5bfa8bf1ad76e8d6428f7f1cd9a0ebeab5e5bb?cid=49789426e6c04428a2befbd3c2d79b02
0qP4QTGEmlslzEWIqF5oNs,Home,Mahalo,0.882,https://p.scdn.co/mp3-preview/46a9ddf1c8c9ca85678766c0f6b15afc1e10834d?cid=49789426e6c04428a2befbd3c2d79b02
5iHaOaMTQA3f24kD4oTR2x,Moment of Clarity,Future,0.624,https://p.scdn.co/mp3-preview/15d616ee4d717a8c08b0ddad409a8548d945eae0?cid=49789426e6c04428a2befbd3c2d79b02
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,The Neighbourhood,0.881,https://p.scdn.co/mp3-preview/3f5a7c8b8e434e72c0e8f0bf43341f161c54b14b?cid=49789426e6c04428a2befbd3c2d79b02
2AYEOC02WLhUiOoaig2SEH,Out of My League,Fitz and The Tantrums,0.968,https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=49789426e6c04428a2befbd3c2d79b02
3DORsoGpr8l2xsaZE9baq5,Wake Up,Mac Miller,0.782,https://p.scdn.co/mp3-preview/3b110e16c0bc624bce60b2428ad313abfe6e362d?cid=49789426e6c04428a2befbd3c2d79b02
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,0.655,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=49789426e6c04428a2befbd3c2d79b02
6RpunyUP44SDweJPDScLSF,Come Home (feat. André 3000),Anderson .Paak,0.815,https://p.scdn.co/mp3-preview/1648d29f242f9a96c3336c2742dfb97ca1293e8c?cid=49789426e6c04428a2befbd3c2d79b02
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,0.728,https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=49789426e6c04428a2befbd3c2d79b02
1TweDM3JC49LNeelLVg3yX,Used (feat. Don Toliver),SZA,0.689,https://p.scdn.co/mp3-preview/d09fca8423bfaaa8ca282f513a1c8710cec64531?cid=49789426e6c04428a2befbd3c2d79b02
2N5zMZX7YeL1tico8oQxa9,Crazy,Gnarls Barkley,0.741,https://p.scdn.co/mp3-preview/3d23901a1b268fa45dd67e663376cec97ff8c9b2?cid=49789426e6c04428a2befbd3c2d79b02
