track_id,track_name,track_artist,energy,preview_url
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.214,https://p.scdn.co/mp3-preview/51f36d7e04069ef4869ea575fb21e5404710b1c4?cid=49789426e6c04428a2befbd3c2d79b02
5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,Brent Faiyaz,0.267,https://p.scdn.co/mp3-preview/ea77901675538cc8ddfe6b86b7b3b966922015fe?cid=49789426e6c04428a2befbd3c2d79b02
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",Pink Floyd,0.0457,https://p.scdn.co/mp3-preview/1d638ff0ac27fbfcb3eed2d9c64a679cd2f36a10?cid=49789426e6c04428a2befbd3c2d79b02
4kKdvXD0ez7jp1296JmAts,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,0.259,https://p.scdn.co/mp3-preview/40594c6620307172f3bb34b9ee5979d3c1c4b718?cid=49789426e6c04428a2befbd3c2d79b02
6qCUUYdNXykbv2bG4qMZhR,Hamilton Way,Nokiaa,0.258,https://p.scdn.co/mp3-preview/2207e867d1776bafa164adf03cc80c40c5d2a73d?cid=49789426e6c04428a2befbd3c2d79b02
4dd9GGN2kHb1d28yGL578m,distance,Nohidea,0.206,https://p.scdn.co/mp3-preview/fa82831071bf78c1f4310b60fefe4fde8a0574ac?cid=49789426e6c04428a2befbd3c2d79b02
