track_id,track_name,track_artist,speechiness,preview_url
5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,Brent Faiyaz,0.05,https://p.scdn.co/mp3-preview/ea77901675538cc8ddfe6b86b7b3b966922015fe?cid=49789426e6c04428a2befbd3c2d79b02
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,The Neighbourhood,0.0542,https://p.scdn.co/mp3-preview/3f5a7c8b8e434e72c0e8f0bf43341f161c54b14b?cid=49789426e6c04428a2befbd3c2d79b02
2AYEOC02WLhUiOoaig2SEH,Out of My League,Fitz and The Tantrums,0.0853,https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=49789426e6c04428a2befbd3c2d79b02
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,0.0583,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=49789426e6c04428a2befbd3c2d79b02
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,0.0351,https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=49789426e6c04428a2befbd3c2d79b02
1TweDM3JC49LNeelLVg3yX,Used (feat. Don Toliver),SZA,0.0871,https://p.scdn.co/mp3-preview/d09fca8423bfaaa8ca282f513a1c8710cec64531?cid=49789426e6c04428a2befbd3c2d79b02
2GAhgAjOhEmItWLfgisyOn,Low,SZA,0.0559,https://p.scdn.co/mp3-preview/5b6dd5a1d06d0bdfd57382a584cbf0227b4d9a4b?cid=49789426e6c04428a2befbd3c2d79b02
3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,0.0841,https://p.scdn.co/mp3-preview/af750f68023549d4744e677c0a25ddb26c8182a8?cid=49789426e6c04428a2befbd3c2d79b02
6uU0Hu8oVk9gBihokcrDMH,One of These Days,Pink Floyd,0.0465,https://p.scdn.co/mp3-preview/5a7ebf0af421b574a127c18f3bdd6333a1586e55?cid=49789426e6c04428a2befbd3c2d79b02
7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",Pink Floyd,0.0337,https://p.scdn.co/mp3-preview/1d638ff0ac27fbfcb3eed2d9c64a679cd2f36a10?cid=49789426e6c04428a2befbd3c2d79b02
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,0.0428,https://p.scdn.co/mp3-preview/73d913b1a9cfa64fda1f7d04d7bb16345fa0aac4?cid=49789426e6c04428a2befbd3c2d79b02
5A7eooPKJHtr0UJmatjH4a,"Another Brick in the Wall, Pt. 3",Pink Floyd,0.0353,https://p.scdn.co/mp3-preview/b9ec791c8fb7d9e7ece38693db86d0546f57b2b5?cid=49789426e6c04428a2befbd3c2d79b02
2N5zMZX7YeL1tico8oQxa9,Crazy,Gnarls Barkley,0.0339,https://p.scdn.co/mp3-preview/3d23901a1b268fa45dd67e663376cec97ff8c9b2?cid=49789426e6c04428a2befbd3c2d79b02
2enPRFda84VE2wtI8c86Uf,Always Forever,Cults,0.0485,https://p.scdn.co/mp3-preview/3887c5ec8242ce866b24154f24baa8128f8743d2?cid=49789426e6c04428a2befbd3c2d79b02
5d2fEfIzQz67c3YQ2trVnE,2 time zones (feat. Night Lovell),bbno$,0.0981,https://p.scdn.co/mp3-preview/4322d27b105082ae823ad64efd26341308b6e1d3?cid=49789426e6c04428a2befbd3c2d79b02
