track_id,track_name,track_artist,energy,preview_url
6HJiKaPc4LYPczBFGSMBFs,I Got Summer On My Mind,Jay Dunham,0.835,https://p.scdn.co/mp3-preview/69ee7f18663f3fad73c91ce9f49aed4c28907d29?cid=49789426e6c04428a2befbd3c2d79b02
378GxC9FFbFaw02SyyxHfO,Serve a Boat,Shoreline Mafia,0.636,https://p.scdn.co/mp3-preview/27961228bd5786d28e94ece1fe0b439fa7a84817?cid=49789426e6c04428a2befbd3c2d79b02
1Ks2UH3WvpohH9q8b03NM7,Skank N Flex (with Scrufizzer),Wax Motif,0.87,https://p.scdn.co/mp3-preview/3ea6dda0cf4aa3f751934c033446b52d0a8fd369?cid=49789426e6c04428a2befbd3c2d79b02
2dy2C0StZ3yiEeb0Aoolcn,Bang Bang,Rita Ora,0.846,https://p.scdn.co/mp3-preview/ec4790fb839ecd2630ddc2eb8efbb3b68aed23da?cid=49789426e6c04428a2befbd3c2d79b02
4i2qxFEVVUi8yOYoxB8TCX,Midnight Sky,Miley Cyrus,0.805,https://p.scdn.co/mp3-preview/f96154dc52234269b2d5625084acf7d3e38c77f8?cid=49789426e6c04428a2befbd3c2d79b02
5BkNCuxzzid0gz9sx3NNbX,My Silver Lining,First Aid Kit,0.725,https://p.scdn.co/mp3-preview/87666d53064eeef2d74e97b1f0e12095d5c10b35?cid=49789426e6c04428a2befbd3c2d79b02
0vAb3U3NJhiuib2B7sJdeJ,Money,The Drums,0.918,https://p.scdn.co/mp3-preview/c5428296d5ce1b42027ab8523e14c5ed04f6a068?cid=49789426e6c04428a2befbd3c2d79b02
3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss (feat. T-Pain),Chris Brown,0.658,https://p.scdn.co/mp3-preview/c313406cabc287b0e994664987866469c980a9f2?cid=49789426e6c04428a2befbd3c2d79b02
6qMXubogFdMrvVMJwqATzd,Jordan Belfort,Wes Walker,0.719,https://p.scdn.co/mp3-preview/444973fd8ca88b6142c2fc42b7b6132e38d11468?cid=49789426e6c04428a2befbd3c2d79b02
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,0.728,https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=49789426e6c04428a2befbd3c2d79b02
