track_id,track_name,track_artist,danceability,instrumentalness,speechiness,acousticness,energy,valence,tempo,loudness,liveness,key,mode,time_signature,preview_url
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,Lupe Fiasco,0.591,0.0,0.115,0.0189,0.889,0.65,143.067,-3.839,0.155,7,1,4,https://p.scdn.co/mp3-preview/82ecf0570b5ba506be317be1cb78cf7717348abd?cid=49789426e6c04428a2befbd3c2d79b02
0YImOCkIJ2PWhCXaURCZnY,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,0.648,0.0,0.306,0.0142,0.759,0.518,85.996,-4.315,0.648,6,1,4,https://p.scdn.co/mp3-preview/f9c37797c6aaf348026d20b455a6c773a0b1d0bc?cid=49789426e6c04428a2befbd3c2d79b02
5EQCzaAbURz9BxfVdmERKd,"Stormy Love, NM.",ZHU,0.618,0.258,0.0517,0.133,0.692,0.492,176.991,-6.995,0.0885,4,0,4,https://p.scdn.co/mp3-preview/60228b4a3f32fe2d7a98cd1fdcc245760ba6bf7b?cid=49789426e6c04428a2befbd3c2d79b02
3haS1MDe2Zh8jJaeiiymSt,Five Hours,Deorro,0.88,0.661,0.118,0.0197,0.821,0.575,127.907,-2.545,0.234,5,0,4,https://p.scdn.co/mp3-preview/34e230e463962fe98eaaf50f110c2ba2a5583014?cid=49789426e6c04428a2befbd3c2d79b02
1FwPQVMtOoNMZ2lRyd7FXa,Under The Influence,Chris Brown,0.733,1.18e-06,0.0427,0.0635,0.69,0.312,116.992,-5.529,0.105,9,0,4,https://p.scdn.co/mp3-preview/a7df3c73a53cf206999369da16b18679df491b35?cid=49789426e6c04428a2befbd3c2d79b02
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,0.762,6.98e-05,0.0343,0.00776,0.766,0.442,130.001,-3.955,0.128,7,1,4,https://p.scdn.co/mp3-preview/d34fb702d404e62f9816de0af525a7e2786a2c00?cid=49789426e6c04428a2befbd3c2d79b02
2GQEM9JuHu30sGFvRYeCxz,Faded,ZHU,0.867,0.175,0.049,0.00843,0.477,0.614,124.979,-7.183,0.113,9,0,4,https://p.scdn.co/mp3-preview/4ae3b0157a796d19faa713e3826317258a9b3a79?cid=49789426e6c04428a2befbd3c2d79b02
5Fx2UrcQobzM1h2ihdhsmm,New Rules - Alison Wonderland Remix,Dua Lipa,0.578,0.00711,0.0431,0.00721,0.59,0.253,128.092,-6.162,0.077,9,0,4,https://p.scdn.co/mp3-preview/7c9fffc86e86d8be26fe5a3c9e84fa1322a30391?cid=49789426e6c04428a2befbd3c2d79b02
66Ms7aYFty1lNm02SuY6II,IYKYK,B-Lovee,0.737,0.0,0.335,0.742,0.734,0.672,86.748,-5.847,0.191,2,1,5,https://p.scdn.co/mp3-preview/05013d6061351794924873d90576ee4b9abedad2?cid=49789426e6c04428a2befbd3c2d79b02
1XRgIKC5TPwo7nWGyKqgG0,I Get the Bag (feat. Migos),Gucci Mane,0.89,0.000343,0.168,0.0232,0.633,0.425,139.948,-5.475,0.0993,11,1,4,https://p.scdn.co/mp3-preview/700bb411f240b0f7dad007ce522ca9b0dfe3b4ce?cid=49789426e6c04428a2befbd3c2d79b02
0q5DrtpnnGpOvBy5nnPMbe,Timeless (feat. DJ SPINKING),A Boogie Wit da Hoodie,0.569,6.71e-06,0.475,0.261,0.761,0.325,180.122,-6.071,0.0748,5,0,4,https://p.scdn.co/mp3-preview/7a2d2cf689ce17951940f9c501124a0ff290f936?cid=49789426e6c04428a2befbd3c2d79b02
67p96tIoC4ESrod9kW331R,Hot Air Balloon,Don Diablo,0.815,0.528,0.0469,0.129,0.71,0.572,122.967,-6.353,0.113,6,0,4,https://p.scdn.co/mp3-preview/229c53e34f3f61252ab707a446bd985e2503b970?cid=49789426e6c04428a2befbd3c2d79b02
1uULQtJ8rbsX5TwjPpPc9Q,4L,21 Savage,0.879,2.09e-05,0.551,0.000897,0.41,0.0703,80.011,-9.233,0.108,8,1,4,https://p.scdn.co/mp3-preview/126a5fcd5b2472af4351106f000570d2c2fa6d49?cid=49789426e6c04428a2befbd3c2d79b02
3KHt3Fbx7AlININwQ10iDT,From Alone,5ALVO,0.522,0.000167,0.224,0.403,0.712,0.342,95.914,-7.897,0.104,0,0,4,https://p.scdn.co/mp3-preview/5ca90d3b31d3bba9b56d69980cb828fcb3b0de2a?cid=49789426e6c04428a2befbd3c2d79b02
4Jv7lweGIUOFQ7Oq2AtAh9,I Follow Rivers - The Magician Remix,Lykke Li,0.786,0.0019,0.0428,0.0234,0.696,0.306,121.974,-5.796,0.0839,9,0,4,https://p.scdn.co/mp3-preview/38d122aaf51a86f13b57ca00303896bcb95d5187?cid=49789426e6c04428a2befbd3c2d79b02
35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),DJ Khaled,0.695,1.04e-06,0.0432,0.0743,0.343,0.229,85.84,-10.798,0.107,5,1,4,https://p.scdn.co/mp3-preview/4d1575a7a3b75f92fe6fa561853e0cfae1e29510?cid=49789426e6c04428a2befbd3c2d79b02
1hkpoSSNKCCD1u1M5FPyDq,Left Alone feat. Chet Faker,Flume,0.491,0.0,0.0259,0.0923,0.614,0.22,84.985,-5.66,0.0896,4,0,4,https://p.scdn.co/mp3-preview/01a6aa56d9cba71726044526e5369f0382689619?cid=49789426e6c04428a2befbd3c2d79b02
15B3zlNGr8fYj60exaIPkl,CHICKENS (feat. EST Gee),Future,0.862,0.0,0.221,0.0403,0.619,0.624,148.059,-6.197,0.253,11,0,4,https://p.scdn.co/mp3-preview/31f8be3eca77ef3b48e71ac227e7c27657ea7cb3?cid=49789426e6c04428a2befbd3c2d79b02
5PZI5xTcMq8FsCcEroth7S,Boneless,Steve Aoki,0.743,0.645,0.0628,0.00431,0.962,0.646,127.995,-3.205,0.351,11,0,4,https://p.scdn.co/mp3-preview/98998fe3897ceb16926260b456b3a3dd0b726476?cid=49789426e6c04428a2befbd3c2d79b02
0PT7nlpo11hYYyfnBgtilT,Nasty Freestyle,T-Wayne,0.779,0.0,0.218,0.0577,0.472,0.412,135.051,-7.116,0.114,11,1,4,https://p.scdn.co/mp3-preview/04e0f68da7abb2aa50a814b6b0e3ed834453c3ab?cid=49789426e6c04428a2befbd3c2d79b02
6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),Lou Bega,0.622,0.0,0.408,0.103,0.807,0.892,174.06,-6.752,0.306,5,0,4,https://p.scdn.co/mp3-preview/c98bff86083944b2b50af1b5dfb04279d5342cde?cid=49789426e6c04428a2befbd3c2d79b02
1y4Kln6VEjQMpmHW7j9GeY,Cut Your Teeth - Kygo Remix,Kyla La Grange,0.674,0.222,0.0406,0.59,0.678,0.465,99.985,-8.452,0.051,10,0,4,https://p.scdn.co/mp3-preview/ea5bb148959597253c38b56c8b339287d746b958?cid=49789426e6c04428a2befbd3c2d79b02
5Uygp1KAwyj41KSjwPt1Nz,Don't Wanna Let Go,Taiki Nulight,0.739,0.051,0.0377,0.000193,0.747,0.542,125.978,-8.223,0.259,10,0,4,https://p.scdn.co/mp3-preview/612f103d5d15c17d85801d83e830edf50043c0e1?cid=49789426e6c04428a2befbd3c2d79b02
4tWzXmibmahyKiPnDPKll1,Then I Go,Damma Beatz,0.838,0.878,0.0545,0.126,0.464,0.254,160.05,-7.987,0.125,5,0,4,https://p.scdn.co/mp3-preview/0741604f7cb63e14bf042c682b33160f41ecc980?cid=49789426e6c04428a2befbd3c2d79b02
39yyHtQ4tkjZzd8TfIBKQw,"Morad: Bzrp Music Sessions, Vol. 47",Bizarrap,0.77,0.00339,0.0429,0.468,0.859,0.548,122.042,-4.526,0.103,0,0,4,https://p.scdn.co/mp3-preview/16d67f40d7b2d0bf40b4d94d83ebf3522ae5c24d?cid=49789426e6c04428a2befbd3c2d79b02
6nu35hLc8zsA9bwBpcuf5L,Type of Way,Rich Homie Quan,0.85,0.0,0.378,0.147,0.509,0.763,134.9,-9.637,0.0759,6,0,4,https://p.scdn.co/mp3-preview/dee9a75981e913318c1e95598ee575d03af22a92?cid=49789426e6c04428a2befbd3c2d79b02
0fDf7Fo4Lb6DA1mmKibSNc,Enough to Believe,Bob Moses,0.681,0.00753,0.0297,0.512,0.407,0.294,109.979,-12.366,0.111,5,0,4,https://p.scdn.co/mp3-preview/4dae6bf522ae0dd790df4db0c7bd2167762cf1bd?cid=49789426e6c04428a2befbd3c2d79b02
6sMPT2noNLupVVqJF4YKtn,Hunnids,Ramirez,0.799,0.203,0.0659,0.0998,0.878,0.578,162.01,-6.204,0.148,1,1,4,https://p.scdn.co/mp3-preview/c2b0ec68b99e58cf5bb7855ae5874efca399aa09?cid=49789426e6c04428a2befbd3c2d79b02
6j5apDNP48InFg0XEIJSyc,"Absence Heard, Presence Felt",Quantic,0.408,0.0296,0.23,0.0155,0.658,0.421,76.985,-10.383,0.145,11,0,4,https://p.scdn.co/mp3-preview/0d5bfa8bf1ad76e8d6428f7f1cd9a0ebeab5e5bb?cid=49789426e6c04428a2befbd3c2d79b02
0qP4QTGEmlslzEWIqF5oNs,Home,Mahalo,0.656,0.00326,0.0373,0.00771,0.882,0.439,124.005,-5.253,0.407,6,0,4,https://p.scdn.co/mp3-preview/46a9ddf1c8c9ca85678766c0f6b15afc1e10834d?cid=49789426e6c04428a2befbd3c2d79b02
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.00428,0.0276,0.0644,0.492,0.789,120.151,-9.744,0.128,0,1,4,https://p.scdn.co/mp3-preview/30d63954de3ee9c0bc3600a4560260cb252d4fbd?cid=49789426e6c04428a2befbd3c2d79b02
5iHaOaMTQA3f24kD4oTR2x,Moment of Clarity,Future,0.862,0.0,0.147,0.183,0.624,0.523,122.029,-5.348,0.195,8,1,4,https://p.scdn.co/mp3-preview/15d616ee4d717a8c08b0ddad409a8548d945eae0?cid=49789426e6c04428a2befbd3c2d79b02
2ctvdKmETyOzPb2GiJJT53,Breathe (In the Air),Pink Floyd,0.431,0.728,0.0346,0.389,0.373,0.253,128.153,-15.142,0.143,11,0,4,https://p.scdn.co/mp3-preview/85e2ac92a4028e1479f93aee34bdbc44596e9a44?cid=49789426e6c04428a2befbd3c2d79b02
0vFOzaXqZHahrZp6enQwQb,Money,Pink Floyd,0.468,0.00199,0.144,0.024,0.536,0.785,126.256,-10.422,0.269,11,0,1,https://p.scdn.co/mp3-preview/103d8d96e99d937f45e01432cfe8f8c3a990c572?cid=49789426e6c04428a2befbd3c2d79b02
1TKTiKp3zbNgrBH2IwSwIx,Us and Them,Pink Floyd,0.357,0.559,0.0303,0.862,0.302,0.135,72.518,-14.526,0.634,2,1,4,https://p.scdn.co/mp3-preview/2f7fbb26efa0addb66a81b2cbf9442e818c79c75?cid=49789426e6c04428a2befbd3c2d79b02
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.339,7.47e-06,0.0375,0.908,0.214,0.363,94.775,-11.714,0.341,4,1,3,https://p.scdn.co/mp3-preview/51f36d7e04069ef4869ea575fb21e5404710b1c4?cid=49789426e6c04428a2befbd3c2d79b02
2JmFRXaJrkAUD2cs6U20KG,Jet Fuel,Mac Miller,0.791,0.0,0.0698,0.54,0.557,0.284,119.973,-9.622,0.103,7,0,4,https://p.scdn.co/mp3-preview/83161ecabcd43f0e26a93d275c9558f3b5eeed37?cid=49789426e6c04428a2befbd3c2d79b02
