track_id,track_name,track_artist,danceability,preview_url
5hNsSrWcClSp0tg4Jdd4UY,I Got A Shot,Jack Harlow,0.973,https://p.scdn.co/mp3-preview/6b8acb053fa5f9c0fad21db461be2c7913ce90cf?cid=49789426e6c04428a2befbd3c2d79b02
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,0.883,https://p.scdn.co/mp3-preview/a5bb6f511c845bd5f971e0fca5ba45f080835ca9?cid=49789426e6c04428a2befbd3c2d79b02
2ihL1KGMA0geIqGT5pkZzo,WARSAW (feat. 2forwOyNE),Jack Harlow,0.923,https://p.scdn.co/mp3-preview/89e8509868fa86cf769383104ec60f2adb195ef1?cid=49789426e6c04428a2befbd3c2d79b02
73xjJ1TIE6WP3HNKczQE4F,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,0.925,https://p.scdn.co/mp3-preview/16f0305cd654ff7f51eeb840586ea8fcebb22b23?cid=49789426e6c04428a2befbd3c2d79b02
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Offset,0.88,https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=49789426e6c04428a2befbd3c2d79b02
0XOKietGW4PXK4hs4jyfpO,WALK IN THE PARK,Jack Harlow,0.956,https://p.scdn.co/mp3-preview/1181caedf152d2a60087dbbbd35119d0da605cd2?cid=49789426e6c04428a2befbd3c2d79b02
4S4Mfvv03M1cHgIOJcbUCL,In My Room,Frank Ocean,0.861,https://p.scdn.co/mp3-preview/a23f4faaefc0b1105bd70e3e46189bcf930dcd42?cid=49789426e6c04428a2befbd3c2d79b02
6ZthdsKjWtiCxnxbhs74vF,Drip or Drown,Gunna,0.952,https://p.scdn.co/mp3-preview/d0722f3ae15763c5f462111b094af348c137e416?cid=49789426e6c04428a2befbd3c2d79b02
6dJ7igqQIKNRXM1R0umY8c,C'est La Vie,SEGA,0.861,https://p.scdn.co/mp3-preview/8bbfcc5082854d2099c46847f2061ccecdaf1aa7?cid=49789426e6c04428a2befbd3c2d79b02
3YeQsJs1FdLI3w0BqWwpmk,2nd Hand,$uicideboy$,0.933,https://p.scdn.co/mp3-preview/a63b92371c78494c1eae05170d7b20df20f0c7a9?cid=49789426e6c04428a2befbd3c2d79b02
2FTeQQ5Rg9tBpgpTF5mnhE,Still Think About You,A Boogie Wit da Hoodie,0.946,https://p.scdn.co/mp3-preview/b1972997353323a3a4bb8f27836a57041960c14a?cid=49789426e6c04428a2befbd3c2d79b02
7MuhbSNErlmQAGRzhnnIjT,Odee,A Boogie Wit da Hoodie,0.854,https://p.scdn.co/mp3-preview/56f546e82e5d692d183958a8f42be24ae12bd099?cid=49789426e6c04428a2befbd3c2d79b02
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),Money Man,0.868,https://p.scdn.co/mp3-preview/66aeb8b712f893c8bf1088a4a35a9e3a4805357e?cid=49789426e6c04428a2befbd3c2d79b02
3jT3A0QXqI01qV9WNxRJOV,EARNED IT,KILLY,0.938,https://p.scdn.co/mp3-preview/d5dc229349bf897a7bcf1d26635a60aa54c154c5?cid=49789426e6c04428a2befbd3c2d79b02
