track_id,track_name,track_artist,danceability,preview_url
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),Money Man,0.868,https://p.scdn.co/mp3-preview/66aeb8b712f893c8bf1088a4a35a9e3a4805357e?cid=49789426e6c04428a2befbd3c2d79b02
3jT3A0QXqI01qV9WNxRJOV,EARNED IT,KILLY,0.938,https://p.scdn.co/mp3-preview/d5dc229349bf897a7bcf1d26635a60aa54c154c5?cid=49789426e6c04428a2befbd3c2d79b02
6ZA3Q8Dj5BrnmOsT300DCh,Ice Cream Man,Tyga,0.902,https://p.scdn.co/mp3-preview/e7165f6c5f7a497553fe2d4f9f22493a1618a2ce?cid=49789426e6c04428a2befbd3c2d79b02
3DR7shAbkNyqgZjYnHZLh2,Creme,Jack Harlow,0.857,https://p.scdn.co/mp3-preview/7eeaa82efdfa83a8aaed5e43b88114840765997d?cid=49789426e6c04428a2befbd3c2d79b02
1unFtbwcAnSGgYPmp52vc0,Wit It,Gunna,0.868,https://p.scdn.co/mp3-preview/2a4d555ced14be504402269f65c68609b3ada757?cid=49789426e6c04428a2befbd3c2d79b02
4qetR2UUyBeUrJ9DbYrpVQ,Stop It,FISHER,0.86,https://p.scdn.co/mp3-preview/aed1683cbfb6101617a0a73d66318acc735111cb?cid=49789426e6c04428a2befbd3c2d79b02
3fUKv3kIexMFOmYsUYvbXJ,Hood Melody (feat. Youngboy Never Broke Again),DDG,0.89,https://p.scdn.co/mp3-preview/b5a07cbac557e2f6d316f1147cb2f31ac8b8f22a?cid=49789426e6c04428a2befbd3c2d79b02
0fEHUeKKmqWd3GGiG7hz0X,Doctor Foo - Smooth Version,Parov Stelar Trio,0.885,https://p.scdn.co/mp3-preview/7fffe07e3bfca2b22ba17e1fedb52711f7291482?cid=49789426e6c04428a2befbd3c2d79b02
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,0.92,https://p.scdn.co/mp3-preview/0f6b8a3524ec410020457da4cdd7717f9addce2f?cid=49789426e6c04428a2befbd3c2d79b02
1irQqioH3g13sybtzD3jJL,You Already Know (feat. Nicki Minaj),Fergie,0.883,https://p.scdn.co/mp3-preview/98e5e7d87e40ab86e24dd8a60fe01bcd00fbb383?cid=49789426e6c04428a2befbd3c2d79b02
0OyHCmkCp2qZJ44ZKB26fX,Si Te Vas / Que Tengo Que Hacer - Original Remix,Omega,0.853,https://p.scdn.co/mp3-preview/7763a47189c0ccd6a21975e6b4a605cf808591d7?cid=49789426e6c04428a2befbd3c2d79b02
6J8lLpZoRCmB5pTrnB5jpV,Mi Gata,Standly,0.862,https://p.scdn.co/mp3-preview/de1df928fe4d9ace07a6d5058a2d50287838e31e?cid=49789426e6c04428a2befbd3c2d79b02
3CIl8hlnMcULSIIhUMmB1Z,FULANITO,Becky G,0.938,https://p.scdn.co/mp3-preview/9fbb3176c16a63cb1ecbcd758088f51ee03a9293?cid=49789426e6c04428a2befbd3c2d79b02
4GSyA0YDBON0qD8fvqmPan,Wraith,Chance the Rapper,0.957,https://p.scdn.co/mp3-preview/fc55fa1ba85671b8ec83060f188bda77a67477ae?cid=49789426e6c04428a2befbd3c2d79b02
